company,company_stage,country,days_since_layoff,Sum of funds_raised_million,Sum of id,industry,Sum of laid_off,Year,Quarter,Month,Day,Sum of layoff_day,Sum of layoff_month,layoff_percentage,Sum of layoff_quarter,layoff_severity,Sum of layoff_year,location_city,location_region,news_source_url,Year,Quarter,Month,Day
American Robotics,Acquired,United States,901,92,2062,Other,50,2023,Qtr 1,January,17,17,1,65%,1,Normal,2023,Boston,,https://www.bostonglobe.com/2023/01/17/business/new-year-brings-new-tech-layoffs/,2023,Qtr 1,January,20
Amount,Unknown,United States,860,283,1737,Finance,130,2023,Qtr 1,February,27,27,2,25%,1,Normal,2023,Chicago,,https://www.chicagobusiness.com/finance-banking/fintech-amount-cuts-about-quarter-its-staff,2023,Qtr 1,March,4
Amperity,Series D,United States,1051,187,2803,Marketing,13,2022,Qtr 3,August,20,20,8,3%,3,Normal,2022,Seattle,,https://www.geekwire.com/2022/seattle-customer-intelligence-startup-amperity-lays-off-recruiting-staff/,2022,Qtr 3,August,22
Amplero,Series B,United States,1925,25,4006,Marketing,17,2020,Qtr 1,March,29,29,3,100%,1,Normal,2020,Seattle,,https://www.geekwire.com/2020/canary-coal-mine-seattle-marketing-tech-startup-amplero-shuts-lays-off-17-employees/,2020,Qtr 2,April,1
Amplitude,Post-IPO,United States,823,311,1590,Data,99,2023,Qtr 2,April,5,5,4,13%,2,Normal,2023,SF Bay Area,,https://amplitude.com/blog/team-update,2023,Qtr 2,April,5
Ancestry,Post-IPO,United States,479,33,576,Consumer,81,2024,Qtr 1,March,14,14,3,6%,1,Normal,2024,Lehi,,https://endpts.com/ancestry-cut-6-of-workforce-as-genealogy-giant-struggles-with-subscription-revenue/,2024,Qtr 2,April,18
Anchorage Digital,Series D,United States,845,487,1675,Crypto,75,2023,Qtr 1,March,14,14,3,20%,1,Normal,2023,SF Bay Area,,https://www.theinformation.com/briefings/crypto-bank-anchorage-digital-lays-off-20-of-staff,2023,Qtr 1,March,15
Andela,Series D,United States,1888,181,3679,Recruiting,135,2020,Qtr 2,May,5,5,5,10%,2,Normal,2020,New York City,,https://layoffs.fyi/2020/07/08/andela-layoff-list-emerges/,2020,Qtr 2,May,6
Anodot,Series C,United States,1096,64,3053,Data,15,2022,Qtr 3,July,6,6,7,20%,3,Normal,2022,Tel Aviv,Non-U.S.,https://www.calcalistech.com/ctechnews/article/sjy5hbre3,2023,Qtr 2,May,8
Anodot,Series C,United States,1096,64,3051,Data,35,2022,Qtr 3,July,6,6,7,27%,3,Normal,2022,Tel Aviv,Non-U.S.,https://www.calcalistech.com/ctechnews/article/sypfe11ms5,2022,Qtr 3,July,6
Antidote Health,Unknown,Israel,987,36,2590,Healthcare,23,2022,Qtr 4,October,23,23,10,38%,4,Normal,2022,Tel Aviv,Non-U.S.,https://www.calcalistech.com/ctechnews/article/s1xwokmvi,2022,Qtr 4,October,24
Apartment List,Series D,United States,1040,169,2767,Real Estate,29,2022,Qtr 3,August,31,31,8,10%,3,Normal,2022,SF Bay Area,,https://www.linkedin.com/posts/matthew-w-woods_for-those-that-know-apartment-list-well-activity-6970856703277903874-MGoW/,2022,Qtr 3,September,1
App Annie,Unknown,United States,1895,156,3722,Data,80,2020,Qtr 2,April,28,28,4,18%,2,Normal,2020,SF Bay Area,,https://www.gamesindustry.biz/articles/2020-04-28-app-annie-lays-off-a-small-fraction-of-its-workforce,2020,Qtr 2,April,28
AppFolio,Post-IPO,United States,689,30,1124,Real Estate,149,2023,Qtr 3,August,17,17,8,9%,3,Normal,2023,Santa Barbara,,https://www.pacbiztimes.com/2023/08/17/appfolio-lays-off-9-of-workforce-in-second-round-of-2023-cuts/,2023,Qtr 3,August,18
AppLovin,Post-IPO,United States,1105,1600,3117,Marketing,300,2022,Qtr 2,June,27,27,6,12%,2,Normal,2022,SF Bay Area,,https://www.bizjournals.com/sanjose/news/2022/06/29/applovin-lays-off-300-workers-report.html,2022,Qtr 2,June,28
ApplyBoard,Series D,Canada,951,483,2356,Education,90,2022,Qtr 4,November,28,28,11,6%,4,Normal,2022,Waterloo,Non-U.S.,https://www.therecord.com/news/waterloo-region/2022/11/28/applyboard-lays-off-six-per-cent-of-its-workforce.html,2022,Qtr 4,November,30
AppsFlyer,Unknown,United States,152,293,133,Data,100,2025,Qtr 1,February,4,4,2,7%,1,Normal,2025,SF Bay Area,,https://www.calcalistech.com/ctechnews/article/hjfbxkkt1e,2025,Qtr 1,February,5
Appsmith,Series B,United States,653,51,1029,,35,2023,Qtr 3,September,22,22,9,25%,3,Normal,2023,SF Bay Area,,https://inc42.com/buzz/exclusive-insight-partners-backed-appsmith-lays-off-25-of-its-workforce/,2023,Qtr 3,September,24
Aqgromalin,Unknown,India,1112,12,3163,Food,80,2022,Qtr 2,June,20,20,6,30%,2,Normal,2022,Chennai,Non-U.S.,https://inc42.com/buzz/exclusive-sequoia-backed-aqgromalin-lays-off-30-workforce/,2022,Qtr 2,June,21
Aqua Security,Series C,Israel,1922,100,3964,Security,24,2020,Qtr 2,April,1,1,4,9%,2,Normal,2020,Tel Aviv,Non-U.S.,https://www.bizjournals.com/boston/news/2020/04/02/cybersecurity-company-lays-off-workers-via-zoom.html,2020,Qtr 2,April,4
Aqua Security,Series E,United States,354,325,381,Security,50,2024,Qtr 3,July,17,17,7,10%,3,Normal,2024,Boston,,https://www.calcalistech.com/ctechnews/article/rky00s7rd0,2024,Qtr 3,July,18
Aqua Security,Series E,United States,944,265,2303,Security,65,2022,Qtr 4,December,5,5,12,10%,4,Normal,2022,Boston,,https://www.calcalistech.com/ctechnews/article/s1uxohjvs,2022,Qtr 4,December,7
Archipelago,Series B,United States,705,57,1184,Real Estate,40,2023,Qtr 3,August,1,1,8,30%,3,Normal,2023,SF Bay Area,,https://www.theinsurer.com/news/ai-driven-property-risk-insurtech-archipelago-analytics-cuts-30-of-workforce/,2023,Qtr 3,August,2
Argo AI,Unknown,United States,1095,3600,3043,Transportation,150,2022,Qtr 3,July,7,7,7,5%,3,Normal,2022,Pittsburgh,,https://techcrunch.com/2022/07/07/ford-vw-backed-argo-ai-lays-off-150-workers-slows-hiring/,2022,Qtr 3,July,8
Argyle,Series B,United States,1045,78,2782,Finance,20,2022,Qtr 3,August,26,26,8,7%,3,Normal,2022,New York City,,https://techcrunch.com/2022/08/26/fintech-argyle-has-layoffs/,2022,Qtr 3,August,27
Armis,Private Equity,United States,941,537,2264,Security,25,2022,Qtr 4,December,8,8,12,4%,4,Normal,2022,SF Bay Area,,https://www.calcalistech.com/ctechnews/article/by6mtcjuo,2022,Qtr 4,December,11
Arrival,Post-IPO,United Kingdom,888,629,1927,Transportation,800,2023,Qtr 1,January,30,30,1,50%,1,Normal,2023,London,Non-U.S.,https://techcrunch.com/2023/01/30/ev-company-arrival-to-cut-workforce-by-50-in-third-restructuring-effort/,2023,Qtr 1,January,31
Arrive Logistics,Series B,United States,1920,35,3910,Logistics,75,2020,Qtr 2,April,3,3,4,7%,2,Normal,2020,Austin,,https://www.freightwaves.com/news/citing-coronavirus-arrive-logistics-cuts-10-of-workforce,2020,Qtr 2,April,5
Artsy,Series D,United States,738,100,1296,Retail,35,2023,Qtr 2,June,29,29,6,15%,2,Normal,2023,New York City,,https://www.artnews.com/art-news/news/artsy-lays-off-35-employees-across-divisions-1234672920/,2023,Qtr 2,June,30
Asana,Post-IPO,United States,964,453,2430,Other,180,2022,Qtr 4,November,15,15,11,9%,4,Normal,2022,SF Bay Area,,https://www.linkedin.com/posts/anneraimondi_earlier-today-we-shared-the-incredibly-difficult-activity-6998297745270718465-a_MV/,2022,Qtr 4,November,15
Astra,Unknown,United States,1918,100,3901,Aerospace,40,2020,Qtr 2,April,5,5,4,25%,2,Normal,2020,SF Bay Area,,https://www.cnbc.com/2020/04/05/rocket-startup-astra-trims-staff-to-survive-pandemic-until-next-year.html,2020,Qtr 2,April,5
Astronomer,Series C,United States,815,282,1565,Data,100,2023,Qtr 2,April,13,13,4,40%,2,Normal,2023,Cincinnati,,Internal memo,2023,Qtr 2,April,15
Astronomer,Series C,United States,914,282,2175,Data,76,2023,Qtr 1,January,4,4,1,20%,1,Normal,2023,Cincinnati,,https://www.astronomer.io/blog/astronomer-update/,2023,Qtr 1,January,7
At-Bay,Unknown,United States,663,296,1055,Security,27,2023,Qtr 3,September,12,12,9,9%,3,Normal,2023,SF Bay Area,,https://www.calcalistech.com/ctechnews/article/sypw6110a3,2023,Qtr 3,September,6
Atera,Series B,Israel,245,102,237,Other,20,2024,Qtr 4,November,3,3,11,6%,4,Normal,2024,Tel Aviv,Non-U.S.,https://www.calcalistech.com/ctechnews/article/byvtjavbyg,2024,Qtr 4,November,4
Atlas,Series B,United States,683,220,1104,HR,150,2023,Qtr 3,August,23,23,8,30%,3,Normal,2023,Chicago,,https://www.forbes.com/sites/angelicamarideoliveira/2023/08/24/hrtech-atlas-announces-layoffs-six-months-post-brazil-launch/?sh=31ea27cb6b7d,2023,Qtr 3,August,25
Atlassian,Post-IPO,Australia,853,210,1697,Other,500,2023,Qtr 1,March,6,6,3,5%,1,Normal,2023,Sydney,Non-U.S.,https://www.cnbc.com/2023/03/06/atlassian-cuts-5percent-of-headcount-as-it-focuses-on-high-priority-areas.html,2023,Qtr 1,March,7
AtoB,Series B,United States,991,177,2604,Finance,32,2022,Qtr 4,October,19,19,10,30%,4,Normal,2022,SF Bay Area,,https://www.sfgate.com/bayarea/article/atob-lays-off-30-staff-17518327.php,2022,Qtr 4,October,19
Atsu,Unknown,United States,1913,1,3836,Infrastructure,6,2020,Qtr 2,April,10,10,4,100%,2,Normal,2020,Seattle,,Company executive,2020,Qtr 2,April,17
AU10TIX,Unknown,Israel,887,80,1922,Security,19,2023,Qtr 1,January,31,31,1,9%,1,Normal,2023,Tel Aviv,Non-U.S.,https://www.calcalistech.com/ctechnews/article/sy6ynzb2o,2023,Qtr 1,February,7
Audible,Acquired,United States,542,14,752,Media,100,2024,Qtr 1,January,11,11,1,5%,1,Normal,2024,New York City,,https://variety.com/2024/digital/news/audible-layoffs-amazon-1235869320/,2024,Qtr 1,January,12
AudioCodes,Post-IPO,Israel,724,91,1240,Other,80,2023,Qtr 3,July,13,13,7,6%,3,Normal,2023,Tel Aviv,Non-U.S.,https://www.calcalistech.com/ctechnews/article/bkrcqqaf3,2023,Qtr 3,July,17
AudioCodes,Post-IPO,Israel,789,91,1472,Other,80,2023,Qtr 2,May,9,9,5,6%,2,Normal,2023,Tel Aviv,Non-U.S.,https://www.calcalistech.com/ctechnews/article/hjnggpd43,2023,Qtr 2,May,10
Augury,Series E,United States,704,274,1170,Manufacturing,70,2023,Qtr 3,August,2,2,8,18%,3,Normal,2023,New York City,,https://www.calcalistech.com/ctechnews/article/ryoxde00j3,2023,Qtr 3,August,3
Augury,Series E,United States,914,274,2177,Manufacturing,20,2023,Qtr 1,January,4,4,1,5%,1,Normal,2023,New York City,,https://www.calcalistech.com/ctechnews/article/skiu0xx9j,2023,Qtr 1,January,9
Aura,Series F,United States,1109,500,3132,Security,70,2022,Qtr 2,June,23,23,6,9%,2,Normal,2022,Boston,,https://www.bankinfosecurity.com/aura-lays-off-70-staff-after-raising-350m-over-past-year-a-19448,2022,Qtr 2,June,26
Aurora Solar,Series D,United States,523,523,689,Energy,111,2024,Qtr 1,January,30,30,1,20%,1,Normal,2024,SF Bay Area,,https://techcrunch.com/2024/01/30/aurora-solar-layoffs/,2024,Qtr 1,January,30
Autograph,Series B,United States,794,205,1487,Crypto,30,2023,Qtr 2,May,4,4,5,33%,2,Normal,2023,Los Angeles,,https://www.businessinsider.com/tom-bradys-nft-startup-autograph-layoffs-crypto-2023-5?IR=T,2023,Qtr 2,May,6
Automation Anywhere,Series B,United States,1896,840,3728,Other,260,2020,Qtr 2,April,27,27,4,10%,2,Normal,2020,SF Bay Area,,https://siliconangle.com/2020/04/27/automation-anywhere-lays-off-tenth-workforce-due-covid-19/,2020,Qtr 2,April,27
Automattic,Series E,United States,95,986,67,Other,281,2025,Qtr 2,April,2,2,4,16%,2,Normal,2025,SF Bay Area,,https://techcrunch.com/2025/04/02/wordpress-maker-automattic-lays-off-16-of-staff/,2025,Qtr 2,April,3
AvantStay,Private Equity,United States,970,686,2485,Travel,144,2022,Qtr 4,November,9,9,11,22%,4,Normal,2022,Los Angeles,,https://shorttermrentalz.com/news/avantstay-workforce-redundancies-round/,2022,Qtr 4,November,11
Avaya,Post-IPO,United States,339,700,365,Other,180,2024,Qtr 3,August,1,1,8,3%,3,Normal,2024,Durham,,https://www.uctoday.com/unified-communications/avaya-layoffs-theyve-talked-the-talk-now-they-need-to-walk-the-walk/,2024,Qtr 4,November,8
Avidbots,Series C,Canada,845,106,1676,Hardware,50,2023,Qtr 1,March,14,14,3,14%,1,Normal,2023,Kitchener,Non-U.S.,https://www.therecord.com/business/2023/03/14/very-difficult-decision-kitchener-robotics-firm-avidbots-confirms-layoffs.html,2023,Qtr 1,March,17
Avo,Series B,Israel,1162,45,3353,Food,500,2022,Qtr 2,May,1,1,5,67%,2,Normal,2022,Tel Aviv,Non-U.S.,https://en.globes.co.il/en/article-israeli-grocery-delivery-co-avo-lays-off-500-1001410720,2022,Qtr 2,May,3
Away,Series D,United States,1916,181,3882,Retail,60,2020,Qtr 2,April,7,7,4,10%,2,Normal,2020,New York City,,https://techcrunch.com/2020/04/07/away-the-high-flying-travel-brand-startup-just-furloughed-half-its-employees-and-laid-off-10/,2020,Qtr 2,April,8
Away,Series D,United States,767,181,1412,Retail,22,2023,Qtr 2,May,31,31,5,8%,2,Normal,2023,New York City,,https://pitchbook.com/news/articles/away-direct-to-consumer-layoffs-venture-capital,2023,Qtr 3,August,15
Axios Media,Acquired,United States,334,57,357,Media,50,2024,Qtr 3,August,6,6,8,10%,3,Normal,2024,Washington D.C.,,https://www.nytimes.com/2024/08/06/business/media/axios-layoffs.html,2024,Qtr 3,August,7
Aya,Seed,United States,1690,3,3467,Finance,5,2020,Qtr 4,November,19,19,11,25%,4,Normal,2020,Toronto,Non-U.S.,https://betakit.com/fintech-and-healthtech-startup-aya-comes-out-of-stealth-with-3-2-million-cad-in-seed-financing/,2020,Qtr 4,November,20
B8ta,Series C,United States,1928,88,4034,Retail,250,2020,Qtr 1,March,26,26,3,50%,1,Normal,2020,SF Bay Area,,https://www.retaildive.com/news/b8ta-announces-corporate-layoffs-and-store-associate-furloughs/574955/,2020,Qtr 1,March,30
